Name,Quantity,Total Cost (USD),Link,Distributor
ESP32,1,$4.00,https://quartzcomponents.com/collections/all/products/esp32-30-pin-development-board-with-wi-fi-and-bluetooth/,Quartz Components
Servo Motor,3,$7.5,https://quartzcomponents.com/products/mg995-metal-gear-servo-motor-180-degree-rotation/,Quartz Components
TP4056,1,$0.2,https://robu.in/product/tp4056-1a-li-ion-battery-charging-board-micro-usb-with-current-protection-type-c-connector/,Robu
Booster Module,1,$0.3,https://robu.in/product/mt3608-2a-max-dc-dc-step-up-power-module-booster-power-module/,Robu
